nr;scen_lbl;scen_lng;scen_txt;popu_lbl;cond_lbl;cond_true_lbl;cond_false_lbl;dec_lbl;dec_pos_lbl;dec_neg_lbl;hi_lbl;mi_lbl;fa_lbl;cr_lbl;prev;sens;spec;fart;N;scen_src;scen_apa
0;---;en;Description of the current scenario in a short paragraph of text. This description may include several sentences.;Population;Condition;TRUE;FALSE;Decision;Positive;Negative;hi;mi;fa;cr;0,15;0,85;0,75;0,25;1000;NA;NA
1;Bowel cancer screening;en;A worked example from Wikipedia that is used to explain positive and negative predictive values (PPV and NPV).;General population;Bowel cancer;ill;healthy;Screening;positive test;negative test;TP;FN;FP;TN;0,015;0,667;0,91;0,09;2030;Wikipedia: https://en.wikipedia.org/wiki/Positive_and_negative_predictive_values#Worked_example;Retrieved from Wikipedia: https://en.wikipedia.org/wiki/Positive_and_negative_predictive_values#Worked_example
2;Cab problem;en;A cab was involved in a hit and run accident at night.  Two companies, the Green and the Blue, operate in the city. You are given the following data: A witness identified the cab as Blue.  The court tested the reliability of the witness under the same circumstances that existed on the night of the accident and concluded that the witness correctly identified each one of the two colors at 80% of the time and failed 20% of the time.  85% of the cabs in the city are Green and 15% are Blue.  What is the probability that the cab invoved in the accident was Blue rather than Green?;Cabs in a city;Company ;blue;green;Identification;correct ;not correct;blue correct ;blue false;green false;green correct;0,15;0,8;0,8;0,2;100;"Tversky & Kahneman (1980, 1982); Sedlmaier & Gigerenzer (2001), p. 391";Tversky, A., & Kahneman, D. (1980). Causal schemas in judgments under uncertainty. Progress in Social Psychology, 1, 49-72.
3;Hemoccult test;en;To diagnose colorectal cancer, the hemoccult test --- among others --- is conducted to detect occult blood in the stool. This test is used from a particular age on, but also on routine screening for early detection of colorectal cancer. Imagine you conduct a screening using the hemoccult test in a certain region. For symptom-free people over 50 years old who participate in screening using the hemoccult test, the following information is available for this region:   (A) Conditional probabilities format:  The probability that one of these people has colorectal cancer is 0.3 percent. If a person has colorectal cancer, the probability is 50 percent that he will have a positive hemoccult test. If a person does not have colorectal cancer, the probability is 3 percent that he will still have a positive hemoccult test. Imagine a person (over age 50, no symptoms) who has a positive hemoccult test in your screening. What is the probability that this person actually has colorectal cancer?   (B) Natural frequencies format:  Thirty out of every 10,000 people have colorectal cancer. Of these 30 people with colorectal cancer, 15 will have a positive hemoccult test. Of the remaining 9970 people without colorectal cancer, 300 will still have a positive hemoccult test. Imagine a sample of people (over age 50, no symptoms) who have a positive hemoccult tests in your screening. How many of these people actually have colorectal cancer? ;General population;Colorectal cancer;ill;healthy;Hemoccult test;positive test;negative test;hi;mi;fa;cr;0,3;0,05;0,97;0,03;100000;Gigerenzer (2002), p. 104--107;Gigerenzer, G. (2003). Reckoning with risk: learning to live with uncertainty. Penguin UK.
4;Mammography;en;A reporter for a women's monthly magazine would like to write an article about breast cancer.  As a part of her research, she focuses on mammography as an indicator of breast cancer.  She wonders what it really means if a woman tests positive for breast cancer during her routine mammography examination.  She has the following data: The probability that a woman who undergoes a mammography will have breast cancer is 1%.  If a woman undergoing a mammography has breast cancer, the probability that she will test positive is 80%.  If a woman undergoing a mammography does not have cancer, the probability that she will test positive is 10%.  What is the probability that a woman who has undergone a mammography actually has breast cancer, if the tests positive? ;Women (general population);Breast cancer;Cancer;No cancer;Screening;positive test;negative test;TP;FN;FP;TN;0,01;0,8;0,9;0,1;1000;Sedlmaier & Gigerenzer (2001), p.381ff.;Sedlmeier, P., & Gigerenzer, G. (2001). Teaching Bayesian reasoning in less than two hours. Journal of Experimental Psychology: General, 130(3), 380--400.
5;Mammography (freq);en;10 out of every 1000 women at age 40 who participate in routine screening have breast cancer.  8 out of every 10 women with breast cancer will get a positive mammography.  95 out of every 990 women without breast cancer will also get a positive mammography.  Here is a new representative sample of women at age 40 who got a positive mammography in a routine screening.  How many of these women do you expect to actually have breast cancer?;Women (age 40) ;Breast cancer;ill;healthy;Screening;positive test;negative test;TP;FN;FP;TN;0,01;0,8;0,904040404;0,095959596;1000;Hoffrage et al. (2015), p. 4;Hoffrage, U., Krauss, S., Martignon, L., & Gigerenzer, G. (2015). Natural frequencies improve Bayesian reasoning in simple and complex inference tasks. Frontiers in Psychology, 6, 1473.
6;Mammography (prob);en;The probability of breast cancer is 1% for a woman at age 40 who participates in routine screening.  If a woman has breast cancer, the probability is 80% that she will get a positive mammography.  If a woman does not have breast cancer, the probability is 9.6% that she will also get a positive mammography.  A woman in this age group had a positive mammography in a routine screening.  What is the probability that she actually has breast cancer?;Women (age 40) ;Breast cancer;ill;healthy;Screening;positive test;negative test;TP;FN;FP;TN;0,01;0,8;0,904;0,096;1000;Hoffrage et al. (2015), p. 3;Hoffrage, U., Krauss, S., Martignon, L., & Gigerenzer, G. (2015). Natural frequencies improve Bayesian reasoning in simple and complex inference tasks. Frontiers in Psychology, 6, 1473.
7;Mushrooms;en;In a forest 20% of mushrooms are red, 50% brown and 30% white.  A red mushroom is poisonous with a probability of 20%.  A mushroom that is not red is poisonous with a probability of 5%.  What is the probability that a poisonous mushroom in the forest is red?;Mushrooms in a forest;Color;red;not red;Identification;poisonous;not poisonous;red and poisonous;red and not poisonous;not red and poisonous;not red and not poisonous;0,2;0,2;0,95;0,05;100;BNT (Cokeley et al., 2012), p. 46;Cokely, E. T., Galesic, M., Schulz, E., Ghazal, S., & Garcia-Retamero, R. (2012). Measuring risk literacy: The Berlin numeracy test. Judgment and Decision Making, 7(1), 25--47.
8;Musical town;en;Out of 1,000 people in a small town 500 are members of a choir.  Out of these 500 members in the choir 100 are men.  Out of the 500 inhabitants that are not in the choir 300 are men.  What is the probability that a randomly drawn man is a member of the choir?;Small town;Choir membership;Member;No Member;Gender;man;woman;man in choir;woman in choir;man not in choir;woman not in choir;0,5;0,2;0,4;0,6;1000;BNT (Cokeley et al., 2012), p. 46;Cokely, E. T., Galesic, M., Schulz, E., Ghazal, S., & Garcia-Retamero, R. (2012). Measuring risk literacy: The Berlin numeracy test. Judgment and Decision Making, 7(1), 25--47.
9;PSA test (baseline);en;Now let us consider using the same screening test when prostate cancer is a low-base-rate event.  If the test is used to screen the general population of males, the base rate will be much lower than the 50% depicted in Table 1.  In one of the largest studies of prostate-cancer screening (Schroeder et al., 2009), the base rate of prostate cancer was only 6.3%.  Table 2 depicts this low-base-rate situation.  Now the positive predictive value is down to 19%. This means that 81% of the positive test results are false positives!  Many of the men with these positive test results will have biopsies with associated morbidity (Loeb et al., 2011).  Some of these men will have prostatectomies, radiation therapy, or hormone therapy with their associated morbidities (Chou et al., 2011).  The problem is that a test with modest sensitivity or specificity is not appropriate for screening the general population unless the cost of false positives or false negatives is very low.;Males (general population);Prostate cancer;ill;healthy;PSA-Test;positive test;negative test;TP;FN;FP;TN;0,063;0,21;0,94;0,06;1000;Arkes & Gaissmaier (2012), p. 550;Arkes, H. R., & Gaissmaier, W. (2012). Psychological research and the prostate-cancer screening controversy. Psychological Science, 23(6), 547--553.
